energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.758,0.152,121.913,0.0516,0.00231,0.725,4,0.198,1,449947,-7.038,0.239,1,audio_features,spotify:track:4RB0T9OOjyDnDhyuXKUtpH
0.935,0.176,164.926,0.178,0.0176,0.000476,4,0.333,11,163627,-5.768,0.516,1,audio_features,spotify:track:7qTZ3NYt0p2Bdyaq4YS6UL
0.917,0.064,140.639,0.0788,0.0306,5.32e-06,4,0.544,5,212693,-6.086,0.642,1,audio_features,spotify:track:6g48vpikqU2atsrDXdGzKo
0.871,0.106,77.594,0.0341,0.13,0.0,4,0.586,0,199173,-6.867,0.921,1,audio_features,spotify:track:4tMBeRRtM16o957kB45t26
0.63,0.163,87.664,0.0624,0.668,3.61e-05,4,0.675,2,218040,-8.582,0.779,1,audio_features,spotify:track:2N4DwqxLsZdYQNZmCVPpG6
0.532,0.217,85.03,0.0323,0.186,0.000263,4,0.548,5,272394,-7.596,0.405,1,audio_features,spotify:track:5FVd6KXrgO9B3JPmC8OPst
0.791,0.0767,182.236,0.0733,0.000783,0.819,3,0.413,9,220933,-9.405,0.645,0,audio_features,spotify:track:3o7IqShF6bfRunlkb6xWUk
0.593,0.282,89.66,0.267,0.0782,0.0,4,0.802,7,309867,-9.72,0.55,1,audio_features,spotify:track:3T790QTg0ebUUk5tCRbtbN
0.357,0.389,100.567,0.0571,0.514,0.0,3,0.846,6,249707,-10.529,0.608,1,audio_features,spotify:track:4gLro52WoEK40Y7CZn6mIK
0.744,0.359,171.374,0.257,0.00868,0.000423,4,0.692,2,326467,-4.565,0.0612,1,audio_features,spotify:track:5Z01UMMf7V1o0MzF86s6WJ
0.915,0.119,139.975,0.0459,0.0198,0.941,4,0.49,10,205053,-8.663,0.38,0,audio_features,spotify:track:4Li1koEIphW5KitMm3panO
0.847,0.0622,138.025,0.0589,0.00903,0.0306,4,0.602,9,235200,-5.998,0.0863,0,audio_features,spotify:track:3oVnbdWg48ZrmsUAQQUKbU
